#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0002376	Immune system process	70	2121	0.87	2.38	2.34e-46	9606.ENSP00000011653,9606.ENSP00000177694,9606.ENSP00000221978,9606.ENSP00000224337,9606.ENSP00000234091,9606.ENSP00000240618,9606.ENSP00000243440,9606.ENSP00000248071,9606.ENSP00000248948,9606.ENSP00000257749,9606.ENSP00000263125,9606.ENSP00000264553,9606.ENSP00000266551,9606.ENSP00000266557,9606.ENSP00000268638,9606.ENSP00000271450,9606.ENSP00000274306,9606.ENSP00000283285,9606.ENSP00000289902,9606.ENSP00000292174,9606.ENSP00000299440,9606.ENSP00000311300,9606.ENSP00000311545,9606.ENSP00000312002,9606.ENSP00000312027,9606.ENSP00000312367,9606.ENSP00000313419,9606.ENSP00000313967,9606.ENSP00000318916,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000338130,9606.ENSP00000338171,9606.ENSP00000344544,9606.ENSP00000349709,9606.ENSP00000351497,9606.ENSP00000354566,9606.ENSP00000354782,9606.ENSP00000355870,9606.ENSP00000356058,9606.ENSP00000357012,9606.ENSP00000357072,9606.ENSP00000358165,9606.ENSP00000358490,9606.ENSP00000360181,9606.ENSP00000363773,9606.ENSP00000364898,9606.ENSP00000371328,9606.ENSP00000375616,9606.ENSP00000376544,9606.ENSP00000376786,9606.ENSP00000385470,9606.ENSP00000386559,9606.ENSP00000386884,9606.ENSP00000395704,9606.ENSP00000398568,9606.ENSP00000411355,9606.ENSP00000427223,9606.ENSP00000438038,9606.ENSP00000440066,9606.ENSP00000455897,9606.ENSP00000477713,9606.ENSP00000478763,9606.ENSP00000481841,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000498227,9606.ENSP00000498852,9606.ENSP00000501245	CD4,TBX21,NKG7,BLNK,ID2,KLRK1,BATF3,KLF2,VPREB3,BACH2,PRKCQ,GZMM,KLRG1,CD27,IRF8,FCGR2A,GZMA,CD96,FCER1G,CXCR5,RAG1,CTSW,ADGRE1,HAVCR2,CD7,CD84,CD19,C1QB,MARCO,ICOS,CD28,CD86,KLRD1,SKAP1,IKZF3,RAET1E,FCGR2B,CD3E,CD247,HLX,FCMR,CD244,SLAMF9,FCGR1A,CD2,SH2D1A,C1QA,SYK,KLRC3,LILRB4,CD79B,POU2AF1,TNFSF18,CD8A,CXCR4,CXCR6,PRF1,PTPRC,MARCHF1,KLRC1,JCHAIN,MRC1,LCK,SIRPA,CD24,KITLG,ITGAM,SELL,SPN,CD1D
GO Process	GO:0006955	Immune response	57	1321	0.98	2.87	1.96e-40	9606.ENSP00000011653,9606.ENSP00000177694,9606.ENSP00000221978,9606.ENSP00000224337,9606.ENSP00000240618,9606.ENSP00000248948,9606.ENSP00000257749,9606.ENSP00000264553,9606.ENSP00000266551,9606.ENSP00000266557,9606.ENSP00000268638,9606.ENSP00000274306,9606.ENSP00000283285,9606.ENSP00000289902,9606.ENSP00000292174,9606.ENSP00000299440,9606.ENSP00000311300,9606.ENSP00000311545,9606.ENSP00000312002,9606.ENSP00000312027,9606.ENSP00000312367,9606.ENSP00000313419,9606.ENSP00000313967,9606.ENSP00000318916,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000338130,9606.ENSP00000338171,9606.ENSP00000349709,9606.ENSP00000351497,9606.ENSP00000354566,9606.ENSP00000354782,9606.ENSP00000355870,9606.ENSP00000357012,9606.ENSP00000358165,9606.ENSP00000358490,9606.ENSP00000360181,9606.ENSP00000363773,9606.ENSP00000364898,9606.ENSP00000375616,9606.ENSP00000376544,9606.ENSP00000376786,9606.ENSP00000385470,9606.ENSP00000386559,9606.ENSP00000386884,9606.ENSP00000395704,9606.ENSP00000398568,9606.ENSP00000427223,9606.ENSP00000438038,9606.ENSP00000440066,9606.ENSP00000455897,9606.ENSP00000477713,9606.ENSP00000478763,9606.ENSP00000496959,9606.ENSP00000498852,9606.ENSP00000501245	CD4,TBX21,NKG7,BLNK,KLRK1,VPREB3,BACH2,GZMM,KLRG1,CD27,IRF8,GZMA,CD96,FCER1G,CXCR5,RAG1,CTSW,ADGRE1,HAVCR2,CD7,CD84,CD19,C1QB,MARCO,ICOS,CD28,CD86,KLRD1,SKAP1,RAET1E,FCGR2B,CD3E,CD247,HLX,CD244,FCGR1A,CD2,SH2D1A,C1QA,SYK,LILRB4,CD79B,POU2AF1,TNFSF18,CD8A,CXCR4,CXCR6,PRF1,MARCHF1,KLRC1,JCHAIN,MRC1,LCK,SIRPA,ITGAM,SPN,CD1D
GO Process	GO:0045321	Leukocyte activation	39	574	1.18	3.66	8.18e-32	9606.ENSP00000011653,9606.ENSP00000177694,9606.ENSP00000221978,9606.ENSP00000224337,9606.ENSP00000240618,9606.ENSP00000243440,9606.ENSP00000263125,9606.ENSP00000268638,9606.ENSP00000289902,9606.ENSP00000292174,9606.ENSP00000299440,9606.ENSP00000312002,9606.ENSP00000312027,9606.ENSP00000312367,9606.ENSP00000313419,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000344544,9606.ENSP00000351497,9606.ENSP00000354566,9606.ENSP00000354782,9606.ENSP00000355870,9606.ENSP00000357012,9606.ENSP00000357072,9606.ENSP00000358490,9606.ENSP00000363773,9606.ENSP00000364898,9606.ENSP00000376544,9606.ENSP00000376786,9606.ENSP00000385470,9606.ENSP00000386559,9606.ENSP00000398568,9606.ENSP00000411355,9606.ENSP00000438038,9606.ENSP00000477713,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000498852,9606.ENSP00000501245	CD4,TBX21,NKG7,BLNK,KLRK1,BATF3,PRKCQ,IRF8,FCER1G,CXCR5,RAG1,HAVCR2,CD7,CD84,CD19,CD28,CD86,IKZF3,FCGR2B,CD3E,CD247,HLX,CD244,SLAMF9,CD2,C1QA,SYK,CD79B,POU2AF1,TNFSF18,CD8A,PRF1,PTPRC,KLRC1,LCK,KITLG,ITGAM,SPN,CD1D
GO Process	GO:0002250	Adaptive immune response	34	359	1.33	4.43	1.31e-31	9606.ENSP00000011653,9606.ENSP00000177694,9606.ENSP00000240618,9606.ENSP00000257749,9606.ENSP00000264553,9606.ENSP00000266557,9606.ENSP00000289902,9606.ENSP00000299440,9606.ENSP00000311545,9606.ENSP00000312002,9606.ENSP00000312027,9606.ENSP00000312367,9606.ENSP00000313419,9606.ENSP00000313967,9606.ENSP00000332049,9606.ENSP00000338130,9606.ENSP00000338171,9606.ENSP00000351497,9606.ENSP00000354566,9606.ENSP00000354782,9606.ENSP00000355870,9606.ENSP00000357012,9606.ENSP00000358165,9606.ENSP00000360181,9606.ENSP00000363773,9606.ENSP00000364898,9606.ENSP00000375616,9606.ENSP00000376544,9606.ENSP00000385470,9606.ENSP00000386559,9606.ENSP00000398568,9606.ENSP00000438038,9606.ENSP00000440066,9606.ENSP00000498852	CD4,TBX21,KLRK1,BACH2,GZMM,CD27,FCER1G,RAG1,ADGRE1,HAVCR2,CD7,CD84,CD19,C1QB,CD86,KLRD1,SKAP1,FCGR2B,CD3E,CD247,HLX,CD244,FCGR1A,SH2D1A,C1QA,SYK,LILRB4,CD79B,TNFSF18,CD8A,PRF1,KLRC1,JCHAIN,SPN
GO Process	GO:0001775	Cell activation	40	693	1.11	3.25	1.84e-30	9606.ENSP00000011653,9606.ENSP00000177694,9606.ENSP00000221978,9606.ENSP00000224337,9606.ENSP00000240618,9606.ENSP00000243440,9606.ENSP00000263125,9606.ENSP00000268638,9606.ENSP00000289902,9606.ENSP00000292174,9606.ENSP00000299440,9606.ENSP00000312002,9606.ENSP00000312027,9606.ENSP00000312367,9606.ENSP00000313419,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000344544,9606.ENSP00000351497,9606.ENSP00000354566,9606.ENSP00000354782,9606.ENSP00000355870,9606.ENSP00000357012,9606.ENSP00000357072,9606.ENSP00000358490,9606.ENSP00000363773,9606.ENSP00000364898,9606.ENSP00000376544,9606.ENSP00000376786,9606.ENSP00000385470,9606.ENSP00000386559,9606.ENSP00000398568,9606.ENSP00000411355,9606.ENSP00000438038,9606.ENSP00000477713,9606.ENSP00000481841,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000498852,9606.ENSP00000501245	CD4,TBX21,NKG7,BLNK,KLRK1,BATF3,PRKCQ,IRF8,FCER1G,CXCR5,RAG1,HAVCR2,CD7,CD84,CD19,CD28,CD86,IKZF3,FCGR2B,CD3E,CD247,HLX,CD244,SLAMF9,CD2,C1QA,SYK,CD79B,POU2AF1,TNFSF18,CD8A,PRF1,PTPRC,KLRC1,LCK,CD24,KITLG,ITGAM,SPN,CD1D
GO Process	GO:0002684	Positive regulation of immune system process	43	874	1.04	2.92	1.84e-30	9606.ENSP00000011653,9606.ENSP00000177694,9606.ENSP00000224337,9606.ENSP00000234091,9606.ENSP00000240618,9606.ENSP00000263125,9606.ENSP00000264072,9606.ENSP00000266557,9606.ENSP00000289902,9606.ENSP00000299440,9606.ENSP00000312002,9606.ENSP00000312367,9606.ENSP00000313419,9606.ENSP00000313967,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000338130,9606.ENSP00000338171,9606.ENSP00000349709,9606.ENSP00000351497,9606.ENSP00000354566,9606.ENSP00000354782,9606.ENSP00000355870,9606.ENSP00000357012,9606.ENSP00000358165,9606.ENSP00000358490,9606.ENSP00000360181,9606.ENSP00000363773,9606.ENSP00000364898,9606.ENSP00000371328,9606.ENSP00000375616,9606.ENSP00000376544,9606.ENSP00000385470,9606.ENSP00000386559,9606.ENSP00000411355,9606.ENSP00000477713,9606.ENSP00000478763,9606.ENSP00000481841,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000498852,9606.ENSP00000501245	CD4,TBX21,BLNK,ID2,KLRK1,PRKCQ,FCER2,CD27,FCER1G,RAG1,HAVCR2,CD84,CD19,C1QB,ICOS,CD28,CD86,KLRD1,SKAP1,RAET1E,FCGR2B,CD3E,CD247,HLX,CD244,FCGR1A,CD2,SH2D1A,C1QA,SYK,KLRC3,LILRB4,CD79B,TNFSF18,CD8A,PTPRC,LCK,SIRPA,CD24,KITLG,ITGAM,SPN,CD1D
GO Process	GO:0046649	Lymphocyte activation	35	457	1.23	3.84	5.89e-30	9606.ENSP00000011653,9606.ENSP00000177694,9606.ENSP00000221978,9606.ENSP00000224337,9606.ENSP00000240618,9606.ENSP00000263125,9606.ENSP00000268638,9606.ENSP00000289902,9606.ENSP00000292174,9606.ENSP00000299440,9606.ENSP00000312027,9606.ENSP00000312367,9606.ENSP00000313419,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000344544,9606.ENSP00000351497,9606.ENSP00000354566,9606.ENSP00000354782,9606.ENSP00000355870,9606.ENSP00000357012,9606.ENSP00000357072,9606.ENSP00000358490,9606.ENSP00000364898,9606.ENSP00000376544,9606.ENSP00000376786,9606.ENSP00000385470,9606.ENSP00000386559,9606.ENSP00000398568,9606.ENSP00000411355,9606.ENSP00000438038,9606.ENSP00000477713,9606.ENSP00000495951,9606.ENSP00000498852,9606.ENSP00000501245	CD4,TBX21,NKG7,BLNK,KLRK1,PRKCQ,IRF8,FCER1G,CXCR5,RAG1,CD7,CD84,CD19,CD28,CD86,IKZF3,FCGR2B,CD3E,CD247,HLX,CD244,SLAMF9,CD2,SYK,CD79B,POU2AF1,TNFSF18,CD8A,PRF1,PTPRC,KLRC1,LCK,KITLG,SPN,CD1D
GO Process	GO:0002682	Regulation of immune system process	48	1438	0.87	2.15	9.79e-28	9606.ENSP00000011653,9606.ENSP00000177694,9606.ENSP00000224337,9606.ENSP00000234091,9606.ENSP00000240618,9606.ENSP00000246551,9606.ENSP00000263125,9606.ENSP00000264072,9606.ENSP00000266557,9606.ENSP00000271450,9606.ENSP00000283285,9606.ENSP00000289902,9606.ENSP00000299440,9606.ENSP00000312002,9606.ENSP00000312367,9606.ENSP00000313419,9606.ENSP00000313967,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000338130,9606.ENSP00000338171,9606.ENSP00000344544,9606.ENSP00000349709,9606.ENSP00000351497,9606.ENSP00000354566,9606.ENSP00000354782,9606.ENSP00000355870,9606.ENSP00000357012,9606.ENSP00000358165,9606.ENSP00000358490,9606.ENSP00000360181,9606.ENSP00000363773,9606.ENSP00000364898,9606.ENSP00000371328,9606.ENSP00000375616,9606.ENSP00000376544,9606.ENSP00000385470,9606.ENSP00000386559,9606.ENSP00000411355,9606.ENSP00000438038,9606.ENSP00000477713,9606.ENSP00000478763,9606.ENSP00000481841,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000498852,9606.ENSP00000501245	CD4,TBX21,BLNK,ID2,KLRK1,HCST,PRKCQ,FCER2,CD27,FCGR2A,CD96,FCER1G,RAG1,HAVCR2,CD84,CD19,C1QB,ICOS,CD28,CD86,KLRD1,SKAP1,IKZF3,RAET1E,FCGR2B,CD3E,CD247,HLX,CD244,FCGR1A,CD2,SH2D1A,C1QA,SYK,KLRC3,LILRB4,CD79B,TNFSF18,CD8A,PTPRC,KLRC1,LCK,SIRPA,CD24,KITLG,ITGAM,SPN,CD1D
GO Process	GO:0050776	Regulation of immune response	39	844	1.01	2.66	3.09e-26	9606.ENSP00000011653,9606.ENSP00000177694,9606.ENSP00000224337,9606.ENSP00000240618,9606.ENSP00000246551,9606.ENSP00000263125,9606.ENSP00000264072,9606.ENSP00000271450,9606.ENSP00000283285,9606.ENSP00000289902,9606.ENSP00000312002,9606.ENSP00000312367,9606.ENSP00000313419,9606.ENSP00000313967,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000338130,9606.ENSP00000338171,9606.ENSP00000349709,9606.ENSP00000351497,9606.ENSP00000354566,9606.ENSP00000354782,9606.ENSP00000355870,9606.ENSP00000358165,9606.ENSP00000360181,9606.ENSP00000363773,9606.ENSP00000364898,9606.ENSP00000371328,9606.ENSP00000375616,9606.ENSP00000376544,9606.ENSP00000385470,9606.ENSP00000386559,9606.ENSP00000411355,9606.ENSP00000438038,9606.ENSP00000477713,9606.ENSP00000481841,9606.ENSP00000496959,9606.ENSP00000498852,9606.ENSP00000501245	CD4,TBX21,BLNK,KLRK1,HCST,PRKCQ,FCER2,FCGR2A,CD96,FCER1G,HAVCR2,CD84,CD19,C1QB,CD28,CD86,KLRD1,SKAP1,RAET1E,FCGR2B,CD3E,CD247,HLX,FCGR1A,SH2D1A,C1QA,SYK,KLRC3,LILRB4,CD79B,TNFSF18,CD8A,PTPRC,KLRC1,LCK,CD24,ITGAM,SPN,CD1D
GO Process	GO:0050865	Regulation of cell activation	33	658	1.05	2.65	1.71e-22	9606.ENSP00000011653,9606.ENSP00000177694,9606.ENSP00000234091,9606.ENSP00000240618,9606.ENSP00000263125,9606.ENSP00000266557,9606.ENSP00000289902,9606.ENSP00000299440,9606.ENSP00000312002,9606.ENSP00000312367,9606.ENSP00000313419,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000338130,9606.ENSP00000344544,9606.ENSP00000351497,9606.ENSP00000354566,9606.ENSP00000355870,9606.ENSP00000358490,9606.ENSP00000364898,9606.ENSP00000371328,9606.ENSP00000375616,9606.ENSP00000385470,9606.ENSP00000411355,9606.ENSP00000438038,9606.ENSP00000477713,9606.ENSP00000478763,9606.ENSP00000481841,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000498852,9606.ENSP00000501245	CD4,TBX21,ID2,KLRK1,PRKCQ,CD27,FCER1G,RAG1,HAVCR2,CD84,CD19,ICOS,CD28,CD86,KLRD1,IKZF3,FCGR2B,CD3E,HLX,CD2,SYK,KLRC3,LILRB4,TNFSF18,PTPRC,KLRC1,LCK,SIRPA,CD24,KITLG,ITGAM,SPN,CD1D
