#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0007186	G protein-coupled receptor signaling pathway	8	1174	1.13	1.13	0.00010	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000363596,9606.ENSP00000363748,9606.ENSP00000442982,9606.ENSP00000480966	ADORA3,P2RY14,GHRL,AGT,CNR2,HTR1D,GPR17,P2RY6
GO Process	GO:0007204	Positive regulation of cytosolic calcium ion concentration	5	201	1.69	1.67	0.00023	9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000442982,9606.ENSP00000493985	GHRL,AGT,EDN2,GPR17,KNG1
GO Process	GO:0035590	Purinergic nucleotide receptor signaling pathway	3	32	2.27	1.39	0.0029	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000480966	ADORA3,P2RY14,P2RY6
GO Process	GO:0042310	Vasoconstriction	3	34	2.24	1.39	0.0029	9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000363748	AGT,EDN2,HTR1D
GO Process	GO:0097746	Blood vessel diameter maintenance	4	140	1.75	1.26	0.0029	9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000363748,9606.ENSP00000493985	AGT,EDN2,HTR1D,KNG1
GO Process	GO:0032101	Regulation of response to external stimulus	6	964	1.09	0.81	0.0049	9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000363596,9606.ENSP00000442982,9606.ENSP00000493985	GHRL,AGT,EDN2,CNR2,GPR17,KNG1
GO Process	GO:0050886	Endocrine process	3	53	2.05	1.24	0.0049	9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668	GHRL,AGT,EDN2
GO Process	GO:0006939	Smooth muscle contraction	3	60	1.99	1.19	0.0058	9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000363748	AGT,EDN2,HTR1D
GO Process	GO:0040012	Regulation of locomotion	6	1032	1.06	0.77	0.0058	9606.ENSP00000241356,9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000363748,9606.ENSP00000480966	ADORA3,GHRL,AGT,EDN2,HTR1D,P2RY6
GO Process	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	3	65	1.96	1.18	0.0061	9606.ENSP00000355627,9606.ENSP00000363596,9606.ENSP00000363748	AGT,CNR2,HTR1D
