#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0042254	Ribosome biogenesis	13	299	1.59	3.47	2.08e-14	9606.ENSP00000257829,9606.ENSP00000261015,9606.ENSP00000264279,9606.ENSP00000314193,9606.ENSP00000322396,9606.ENSP00000331019,9606.ENSP00000345917,9606.ENSP00000367806,9606.ENSP00000370589,9606.ENSP00000389351,9606.ENSP00000413436,9606.ENSP00000418221,9606.ENSP00000495273	NAT10,WDR12,NOP58,WDR75,RRS1,RPS27L,LYAR,RPS16,NOP56,RPSA,RPL10,RPL7L1,RPS7
GO Process	GO:0022613	Ribonucleoprotein complex biogenesis	14	449	1.45	2.95	2.69e-14	9606.ENSP00000257829,9606.ENSP00000261015,9606.ENSP00000264279,9606.ENSP00000265753,9606.ENSP00000314193,9606.ENSP00000322396,9606.ENSP00000331019,9606.ENSP00000345917,9606.ENSP00000367806,9606.ENSP00000370589,9606.ENSP00000389351,9606.ENSP00000413436,9606.ENSP00000418221,9606.ENSP00000495273	NAT10,WDR12,NOP58,EIF4H,WDR75,RRS1,RPS27L,LYAR,RPS16,NOP56,RPSA,RPL10,RPL7L1,RPS7
GO Process	GO:0010467	Gene expression	19	2101	0.91	1.26	2.15e-12	9606.ENSP00000257829,9606.ENSP00000261015,9606.ENSP00000264279,9606.ENSP00000265753,9606.ENSP00000309334,9606.ENSP00000314193,9606.ENSP00000322396,9606.ENSP00000331019,9606.ENSP00000345917,9606.ENSP00000367806,9606.ENSP00000370589,9606.ENSP00000378163,9606.ENSP00000386717,9606.ENSP00000389351,9606.ENSP00000398131,9606.ENSP00000413436,9606.ENSP00000418221,9606.ENSP00000449026,9606.ENSP00000495273	NAT10,WDR12,NOP58,EIF4H,RPL15,WDR75,RRS1,RPS27L,LYAR,RPS16,NOP56,RPL34,RPL31,RPSA,GSPT1,RPL10,RPL7L1,RPL41,RPS7
GO Process	GO:0034641	Cellular nitrogen compound metabolic process	21	3463	0.73	0.91	1.06e-11	9606.ENSP00000257829,9606.ENSP00000261015,9606.ENSP00000264279,9606.ENSP00000265753,9606.ENSP00000283148,9606.ENSP00000309334,9606.ENSP00000314193,9606.ENSP00000315569,9606.ENSP00000322396,9606.ENSP00000331019,9606.ENSP00000345917,9606.ENSP00000367806,9606.ENSP00000370589,9606.ENSP00000378163,9606.ENSP00000386717,9606.ENSP00000389351,9606.ENSP00000398131,9606.ENSP00000413436,9606.ENSP00000418221,9606.ENSP00000449026,9606.ENSP00000495273	NAT10,WDR12,NOP58,EIF4H,UXS1,RPL15,WDR75,DIS3L2,RRS1,RPS27L,LYAR,RPS16,NOP56,RPL34,RPL31,RPSA,GSPT1,RPL10,RPL7L1,RPL41,RPS7
GO Process	GO:0002181	Cytoplasmic translation	9	123	1.82	3.5	2.96e-11	9606.ENSP00000265753,9606.ENSP00000309334,9606.ENSP00000367806,9606.ENSP00000378163,9606.ENSP00000386717,9606.ENSP00000389351,9606.ENSP00000413436,9606.ENSP00000449026,9606.ENSP00000495273	EIF4H,RPL15,RPS16,RPL34,RPL31,RPSA,RPL10,RPL41,RPS7
GO Process	GO:0006364	rRNA processing	10	220	1.61	2.97	5.72e-11	9606.ENSP00000257829,9606.ENSP00000261015,9606.ENSP00000264279,9606.ENSP00000314193,9606.ENSP00000322396,9606.ENSP00000345917,9606.ENSP00000367806,9606.ENSP00000370589,9606.ENSP00000418221,9606.ENSP00000495273	NAT10,WDR12,NOP58,WDR75,RRS1,LYAR,RPS16,NOP56,RPL7L1,RPS7
GO Process	GO:0006412	Translation	11	389	1.4	2.36	2.36e-10	9606.ENSP00000265753,9606.ENSP00000309334,9606.ENSP00000331019,9606.ENSP00000367806,9606.ENSP00000378163,9606.ENSP00000386717,9606.ENSP00000389351,9606.ENSP00000398131,9606.ENSP00000413436,9606.ENSP00000449026,9606.ENSP00000495273	EIF4H,RPL15,RPS27L,RPS16,RPL34,RPL31,RPSA,GSPT1,RPL10,RPL41,RPS7
GO Process	GO:0034660	ncRNA metabolic process	11	535	1.27	1.87	5.57e-09	9606.ENSP00000257829,9606.ENSP00000261015,9606.ENSP00000264279,9606.ENSP00000314193,9606.ENSP00000315569,9606.ENSP00000322396,9606.ENSP00000345917,9606.ENSP00000367806,9606.ENSP00000370589,9606.ENSP00000418221,9606.ENSP00000495273	NAT10,WDR12,NOP58,WDR75,DIS3L2,RRS1,LYAR,RPS16,NOP56,RPL7L1,RPS7
GO Process	GO:0042274	Ribosomal small subunit biogenesis	6	78	1.84	2.41	3.45e-07	9606.ENSP00000257829,9606.ENSP00000322396,9606.ENSP00000331019,9606.ENSP00000367806,9606.ENSP00000389351,9606.ENSP00000495273	NAT10,RRS1,RPS27L,RPS16,RPSA,RPS7
GO Process	GO:0043170	Macromolecule metabolic process	20	5781	0.49	0.51	2.28e-06	9606.ENSP00000257829,9606.ENSP00000261015,9606.ENSP00000264279,9606.ENSP00000265753,9606.ENSP00000309334,9606.ENSP00000314193,9606.ENSP00000315569,9606.ENSP00000322396,9606.ENSP00000331019,9606.ENSP00000345917,9606.ENSP00000367806,9606.ENSP00000370589,9606.ENSP00000378163,9606.ENSP00000386717,9606.ENSP00000389351,9606.ENSP00000398131,9606.ENSP00000413436,9606.ENSP00000418221,9606.ENSP00000449026,9606.ENSP00000495273	NAT10,WDR12,NOP58,EIF4H,RPL15,WDR75,DIS3L2,RRS1,RPS27L,LYAR,RPS16,NOP56,RPL34,RPL31,RPSA,GSPT1,RPL10,RPL7L1,RPL41,RPS7
