gene	Bao_31411002	Deng_37674532	Hu_37081490	Lingappen_25003466	Feng_37553691	Gharib_16387799	Li_31106457	Lv_2621618	Wang_37149072	Yie_31373289ip	Yie_31373289it	Jia_34917127	Lee_15885264	Leikauf_21297076	Leikauf_22447970	Leikauf_23590305	Altemeir_16116230	maic_score	contributors
ENSG00000102265	0.0	0.0	0.0	2.8296604240086833	0.0	0.0	0.0	0.0	0.0	0.0	1.5983853829700991	0.0	1.8397482498301603	0.0	0.0	0.0	2.0684633781599917	8.336257434968934	Ï»¿LPS: Altemeir_16116230, TOXICINHALENT: Lee_15885264, HYPEROXIA: Lingappen_25003466, LPS: Yie_31373289it
ENSG00000124762	0.0	0.0	1.9143948531816164	0.0	0.0	0.0	0.0	0.0	2.3054594448503756	0.0	0.0	0.0	1.9630664366271011	0.0	0.0	0.0	2.0684633781599917	8.251384112819085	Ï»¿LPS: Altemeir_16116230, CLP: Hu_37081490, TOXICINHALENT: Lee_15885264, LPS: Wang_37149072
ENSG00000162772	0.0	1.5626574860634448	0.0	2.5779538036500016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9221292262255338	0.0	0.0	0.0	2.0684633781599917	8.131203894098972	Ï»¿LPS: Altemeir_16116230, CLP: Deng_37674532, TOXICINHALENT: Lee_15885264, HYPEROXIA: Lingappen_25003466
ENSG00000148346	0.0	1.5705236471457604	0.0	0.0	2.2051801514389977	0.0	0.0	0.0	0.0	0.0	1.367435535081158	1.6559899414778982	1.9523437342463583	0.0	0.0	0.0	2.0684633781599917	7.796510910991108	Ï»¿LPS: Altemeir_16116230, CLP: Deng_37674532, LPS: Feng_37553691, TOXICINHALENT: Lee_15885264
ENSG00000162645	0.0	1.725610703750593	0.0	0.0	2.2781954309332737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6625565953785524	0.0	0.0	0.0	2.0684633781599917	7.734826108222411	Ï»¿LPS: Altemeir_16116230, CLP: Deng_37674532, LPS: Feng_37553691, TOXICINHALENT: Lee_15885264
ENSG00000001084	0.0	0.0	1.9143948531816164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2772880840589729	0.0	1.9419534487035013	0.0	0.0	0.0	2.0684633781599917	7.202099764104083	Ï»¿LPS: Altemeir_16116230, CLP: Hu_37081490, TOXICINHALENT: Lee_15885264, LPS: Yie_31373289it
ENSG00000136997	0.0	0.0	0.0	2.7367693448743555	0.0	2.00884303154043	0.0	0.0	0.0	0.0	0.0	0.0	2.003370320791376	0.0	0.0	0.0	0.0	6.748982697206161	LPS: Gharib_16387799, TOXICINHALENT: Lee_15885264, HYPEROXIA: Lingappen_25003466
ENSG00000117525	0.0	0.0	0.0	2.3945259962237477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8542169173882348	0.0	0.0	0.0	2.0684633781599917	6.317206291771974	Ï»¿LPS: Altemeir_16116230, TOXICINHALENT: Lee_15885264, HYPEROXIA: Lingappen_25003466
ENSG00000106366	0.0	0.0	0.0	2.224906548985135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.857978730347905	0.0	0.0	0.0	2.0684633781599917	6.151348657493031	Ï»¿LPS: Altemeir_16116230, TOXICINHALENT: Lee_15885264, HYPEROXIA: Lingappen_25003466
ENSG00000185507	0.0	1.6016996958725684	0.0	0.0	0.0	1.9611937925781078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0684633781599917	5.631356866610668	Ï»¿LPS: Altemeir_16116230, CLP: Deng_37674532, LPS: Gharib_16387799
ENSG00000131981	0.0	1.5623855577378536	0.0	0.0	1.9455980093013254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0684633781599917	5.576446945199171	Ï»¿LPS: Altemeir_16116230, CLP: Deng_37674532, LPS: Feng_37553691
ENSG00000134216	0.0	1.5682517957057152	0.0	0.0	2.2226321344525823	0.0	0.0	0.0	0.0	1.3678039885036126	1.2844133922457486	0.0	1.7064807141714955	0.0	0.0	0.0	0.0	5.497364644329793	CLP: Deng_37674532, LPS: Feng_37553691, TOXICINHALENT: Lee_15885264
ENSG00000108688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4850753825854726	0.0	0.0	0.0	0.0	1.7395329966619253	0.0	0.0	0.0	2.0684633781599917	5.2930717574073896	Ï»¿LPS: Altemeir_16116230, TOXICINHALENT: Lee_15885264, LPS: Lv_2621618
ENSG00000160213	0.0	1.5641332960806678	0.0	0.0	1.96520420311086	0.0	0.0	0.0	0.0	0.0	1.2816092405092818	0.0	1.701030044262497	0.0	0.0	0.0	0.0	5.230367543454025	CLP: Deng_37674532, LPS: Feng_37553691, TOXICINHALENT: Lee_15885264
ENSG00000121552	0.0	1.5614428924264505	0.0	0.0	1.936221432115806	0.0	0.0	0.0	0.0	0.0	0.0	1.6352786629123044	0.0	0.0	0.0	0.0	0.0	5.132942987454561	CLP: Deng_37674532, LPS: Feng_37553691, TOXICINHALENT: Jia_34917127
ENSG00000130222	0.0	1.561389837335309	0.0	0.0	1.7016805713386245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8328485599360822	0.0	0.0	0.0	0.0	5.095918968610016	CLP: Deng_37674532, LPS: Feng_37553691, TOXICINHALENT: Lee_15885264
ENSG00000271503	0.0	1.5655123010135676	0.0	0.0	1.7224421292249477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6647512480151134	0.0	0.0	0.0	0.0	4.952705678253628	CLP: Deng_37674532, LPS: Feng_37553691, TOXICINHALENT: Lee_15885264
ENSG00000163131	0.0	1.5831621595646053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4290273321992701	0.0	0.0	1.6876958755527132	0.0	0.0	0.0	0.0	4.699885367316589	CLP: Deng_37674532, TOXICINHALENT: Lee_15885264, LPS: Yie_31373289ip
ENSG00000109321	0.0	0.0	0.0	2.653177446971354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.894638562351959	0.0	0.0	0.0	0.0	4.547816009323313	TOXICINHALENT: Lee_15885264, HYPEROXIA: Lingappen_25003466
ENSG00000148926	0.0	0.0	0.0	2.345195545480039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.968555754418567	0.0	0.0	0.0	0.0	4.313751299898605	TOXICINHALENT: Lee_15885264, HYPEROXIA: Lingappen_25003466
ENSG00000148677	0.0	0.0	0.0	2.5102606818876207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7985506541190763	0.0	0.0	0.0	0.0	4.308811336006697	TOXICINHALENT: Lee_15885264, HYPEROXIA: Lingappen_25003466
ENSG00000136244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2271391102421063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0684633781599917	4.295602488402098	Ï»¿LPS: Altemeir_16116230, LPS: Wang_37149072
ENSG00000187608	0.0	0.0	0.0	0.0	2.1403132460652223	0.0	0.0	0.0	0.0	0.0	1.4319738780908926	0.0	0.0	0.0	0.0	0.0	2.0684633781599917	4.208776624225214	Ï»¿LPS: Altemeir_16116230, LPS: Feng_37553691
ENSG00000073756	0.0	0.0	0.0	2.11367284799214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0684633781599917	4.1821362261521315	Ï»¿LPS: Altemeir_16116230, HYPEROXIA: Lingappen_25003466
ENSG00000104687	1.1132433238137014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3144412792255262	0.0	1.7537895337347271	0.0	0.0	0.0	0.0	4.181474136773955	CLP: Bao_31411002, TOXICINHALENT: Lee_15885264, LPS: Yie_31373289it
ENSG00000185338	0.0	0.0	1.9143948531816164	0.0	0.0	0.0	0.0	0.0	2.2653155120702895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.179710365251906	CLP: Hu_37081490, LPS: Wang_37149072
ENSG00000160326	0.0	0.0	1.9143948531816164	0.0	0.0	0.0	0.0	0.0	2.190833806885426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.105228660067042	CLP: Hu_37081490, LPS: Wang_37149072
ENSG00000204388	0.0	0.0	0.0	0.0	2.0964594834396952	0.0	0.0	0.0	0.0	0.0	1.28147763627253	0.0	1.9855519723351864	0.0	0.0	0.0	0.0	4.0820114557748814	LPS: Feng_37553691, TOXICINHALENT: Lee_15885264
ENSG00000116701	0.0	0.0	1.9143948531816164	0.0	0.0	0.0	0.0	0.0	2.156307895861391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.070702749043007	CLP: Hu_37081490, LPS: Wang_37149072
ENSG00000204389	0.0	0.0	0.0	0.0	2.082685370389228	0.0	0.0	0.0	0.0	0.0	1.2814122699941506	0.0	1.979797128674119	0.0	0.0	0.0	0.0	4.062482499063346	LPS: Feng_37553691, TOXICINHALENT: Lee_15885264
ENSG00000163734	0.0	0.0	0.0	0.0	1.6994140565540228	0.0	0.0	1.4850753825854726	2.347672310990013	0.0	0.0	1.6629528595445122	1.7023606980524448	0.0	0.0	0.0	0.0	4.050033009042458	LPS: Wang_37149072, TOXICINHALENT: Lee_15885264
ENSG00000076043	0.0	0.0	0.0	2.0733672469134423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9741321908919325	0.0	0.0	0.0	0.0	4.047499437805374	TOXICINHALENT: Lee_15885264, HYPEROXIA: Lingappen_25003466
ENSG00000026508	0.0	0.0	1.9143948531816164	0.0	0.0	0.0	0.0	0.0	2.1234741657255882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.037869018907204	CLP: Hu_37081490, LPS: Wang_37149072
ENSG00000116717	0.0	0.0	0.0	2.1634448392142427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8505138738424494	0.0	0.0	0.0	0.0	4.013958713056692	TOXICINHALENT: Lee_15885264, HYPEROXIA: Lingappen_25003466
ENSG00000154451	0.0	1.6874305941218928	0.0	0.0	2.2978396765825835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9852702707044765	CLP: Deng_37674532, LPS: Feng_37553691
