gene	Deng_37674532	Hu_37081490	Lingappen_25003466	Feng_37553691	Gharib_16387799	Li_31106457	Lv_2621618	Wang_37149072	Yie_31373289ip	Yie_31373289it	Jia_34917127	Lee_15885264	Leikauf_21297076	Leikauf_22447970	Leikauf_23590305	Bao_31411002	maic_score	contributors
ENSG00000136997	0.0	0.0	2.3633712282947408	0.0	1.8094749687680056	0.0	0.0	0.0	0.0	0.0	0.0	1.8267521814731813	0.0	0.0	0.0	0.0	5.999598378535928	LPS: Gharib_16387799, TOXICINHALENT: Lee_15885264, HYPEROXIA: Lingappen_25003466
ENSG00000124762	0.0	1.740520905390353	0.0	0.0	0.0	0.0	0.0	2.0209994302158343	0.0	0.0	0.0	1.7818450235348566	0.0	0.0	0.0	0.0	5.543365359141044	CLP: Hu_37081490, TOXICINHALENT: Lee_15885264, LPS: Wang_37149072
ENSG00000102265	0.0	0.0	2.44598524006721	0.0	0.0	0.0	0.0	0.0	0.0	1.4264915805907354	0.0	1.6579937727283744	0.0	0.0	0.0	0.0	5.530470593386319	TOXICINHALENT: Lee_15885264, HYPEROXIA: Lingappen_25003466, LPS: Yie_31373289it
ENSG00000162772	1.4507916051658238	0.0	2.2244442309934223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.738347730067367	0.0	0.0	0.0	0.0	5.413583566226613	CLP: Deng_37674532, TOXICINHALENT: Lee_15885264, HYPEROXIA: Lingappen_25003466
ENSG00000148346	1.4528346434091797	0.0	0.0	1.9774389186333354	0.0	0.0	0.0	0.0	0.0	1.262539860003268	1.6014173551586213	1.7702395382223073	0.0	0.0	0.0	0.0	5.200513100264823	CLP: Deng_37674532, LPS: Feng_37553691, TOXICINHALENT: Lee_15885264
ENSG00000162645	1.5426205398495334	0.0	0.0	2.037112367397024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5289252271419305	0.0	0.0	0.0	0.0	5.108658134388488	CLP: Deng_37674532, LPS: Feng_37553691, TOXICINHALENT: Lee_15885264
ENSG00000134216	1.4521589251677194	0.0	0.0	1.991659609232178	0.0	0.0	0.0	0.0	1.3437060274452326	1.228453792438387	0.0	1.5535405017365447	0.0	0.0	0.0	0.0	4.997359036136443	CLP: Deng_37674532, LPS: Feng_37553691, TOXICINHALENT: Lee_15885264
ENSG00000121552	1.4505881369786944	0.0	0.0	1.7624283375979433	0.0	0.0	0.0	0.0	0.0	0.0	1.5741343576919062	0.0	0.0	0.0	0.0	0.0	4.787150832268544	CLP: Deng_37674532, LPS: Feng_37553691, TOXICINHALENT: Jia_34917127
ENSG00000160213	1.4510983318627368	0.0	0.0	1.785150024973093	0.0	0.0	0.0	0.0	0.0	1.2277153749163843	0.0	1.5501453423889775	0.0	0.0	0.0	0.0	4.786393699224807	CLP: Deng_37674532, LPS: Feng_37553691, TOXICINHALENT: Lee_15885264
ENSG00000001084	0.0	1.740520905390353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2264719074357553	0.0	1.759135799454469	0.0	0.0	0.0	0.0	4.7261286122805775	CLP: Hu_37081490, TOXICINHALENT: Lee_15885264, LPS: Yie_31373289it
