#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0051346	Negative regulation of hydrolase activity	8	354	1.47	1.94	1.08e-06	9606.ENSP00000236850,9606.ENSP00000254722,9606.ENSP00000321853,9606.ENSP00000342850,9606.ENSP00000351190,9606.ENSP00000356671,9606.ENSP00000415769,9606.ENSP00000416066	APOA1,SERPINF1,SERPINF2,SERPINA6,ITIH2,SERPINC1,ITIH3,SERPINA1
GO Process	GO:0051336	Regulation of hydrolase activity	9	1011	1.07	1.11	3.04e-05	9606.ENSP00000236850,9606.ENSP00000254722,9606.ENSP00000321853,9606.ENSP00000342850,9606.ENSP00000350425,9606.ENSP00000351190,9606.ENSP00000356671,9606.ENSP00000415769,9606.ENSP00000416066	APOA1,SERPINF1,SERPINF2,SERPINA6,APOA4,ITIH2,SERPINC1,ITIH3,SERPINA1
GO Process	GO:0010873	Positive regulation of cholesterol esterification	2	4	2.82	0.99	0.0106	9606.ENSP00000236850,9606.ENSP00000350425	APOA1,APOA4
GO Process	GO:0009611	Response to wounding	5	444	1.17	0.68	0.0167	9606.ENSP00000302621,9606.ENSP00000336829,9606.ENSP00000350425,9606.ENSP00000356671,9606.ENSP00000416066	LRG1,FGG,APOA4,SERPINC1,SERPINA1
GO Process	GO:0030193	Regulation of blood coagulation	3	70	1.75	0.78	0.0210	9606.ENSP00000321853,9606.ENSP00000336829,9606.ENSP00000356671	SERPINF2,FGG,SERPINC1
GO Process	GO:1905920	Positive regulation of CoA-transferase activity	2	8	2.52	0.83	0.0215	9606.ENSP00000236850,9606.ENSP00000350425	APOA1,APOA4
GO Process	GO:0010898	Positive regulation of triglyceride catabolic process	2	9	2.47	0.82	0.0221	9606.ENSP00000236850,9606.ENSP00000350425	APOA1,APOA4
GO Process	GO:0034372	Very-low-density lipoprotein particle remodeling	2	9	2.47	0.82	0.0221	9606.ENSP00000236850,9606.ENSP00000350425	APOA1,APOA4
GO Process	GO:0051006	Positive regulation of lipoprotein lipase activity	2	9	2.47	0.82	0.0221	9606.ENSP00000236850,9606.ENSP00000350425	APOA1,APOA4
GO Process	GO:0008202	Steroid metabolic process	4	258	1.31	0.68	0.0232	9606.ENSP00000236850,9606.ENSP00000342850,9606.ENSP00000350425,9606.ENSP00000379138	APOA1,SERPINA6,APOA4,AFP
GO Process	GO:0030300	Regulation of intestinal cholesterol absorption	2	10	2.42	0.81	0.0232	9606.ENSP00000236850,9606.ENSP00000350425	APOA1,APOA4
GO Process	GO:0033700	Phospholipid efflux	2	12	2.34	0.78	0.0265	9606.ENSP00000236850,9606.ENSP00000350425	APOA1,APOA4
GO Process	GO:0034380	High-density lipoprotein particle assembly	2	12	2.34	0.78	0.0265	9606.ENSP00000236850,9606.ENSP00000350425	APOA1,APOA4
GO Process	GO:0065008	Regulation of biological quality	10	3654	0.56	0.36	0.0286	9606.ENSP00000236850,9606.ENSP00000237014,9606.ENSP00000254722,9606.ENSP00000321853,9606.ENSP00000336829,9606.ENSP00000350425,9606.ENSP00000356671,9606.ENSP00000379138,9606.ENSP00000385834,9606.ENSP00000416066	APOA1,TTR,SERPINF1,SERPINF2,FGG,APOA4,SERPINC1,AFP,TF,SERPINA1
GO Process	GO:0008211	Glucocorticoid metabolic process	2	15	2.24	0.73	0.0337	9606.ENSP00000236850,9606.ENSP00000342850	APOA1,SERPINA6
GO Process	GO:0034375	High-density lipoprotein particle remodeling	2	16	2.22	0.71	0.0368	9606.ENSP00000236850,9606.ENSP00000350425	APOA1,APOA4
GO Process	GO:0042060	Wound healing	4	336	1.19	0.55	0.0444	9606.ENSP00000302621,9606.ENSP00000336829,9606.ENSP00000356671,9606.ENSP00000416066	LRG1,FGG,SERPINC1,SERPINA1
GO Process	GO:0043691	Reverse cholesterol transport	2	18	2.16	0.67	0.0444	9606.ENSP00000236850,9606.ENSP00000350425	APOA1,APOA4
